TransactionID,Date,CustomerID,Age,Gender,Location,ProductID,Category,Quantity,UnitPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,Event,CustomerSatisfaction,ReturnFlag
1,24-12-2020,441,27,Other,City_15,106,Toys,5,96.78625465,Credit Card,FALSE,0,FALSE,None,5,FALSE
2,18-11-2022,340,43,Male,City_13,816,Clothing,1,95.27957916,Credit Card,TRUE,0,TRUE,None,2,TRUE
3,26-12-2019,31,25,Other,City_7,508,Clothing,2,52.37164537,Credit Card,FALSE,0,FALSE,Christmas Market,4,FALSE
4,13-11-2018,39,64,Male,City_20,710,Toys,5,63.64729257,Debit Card,FALSE,0,TRUE,None,1,TRUE
5,13-12-2020,344,26,Other,City_10,687,Toys,3,57.38404058,Cash,FALSE,0,TRUE,Christmas Market,4,FALSE
6,26-11-2018,307,18,Male,City_4,589,Decorations,1,81.05898582,Online Payment,TRUE,8.105898582,TRUE,Black Friday,3,TRUE
7,08-12-2020,368,63,Female,City_3,158,Food,3,48.15754232,Online Payment,FALSE,0,TRUE,Christmas Market,3,TRUE
8,03-12-2020,121,48,Other,City_1,829,Clothing,3,97.06931545,Cash,TRUE,29.12079463,FALSE,Black Friday,5,FALSE
9,10-11-2020,464,58,Other,City_19,987,Decorations,2,34.14224425,Debit Card,TRUE,6.828448849,FALSE,Black Friday,1,FALSE
10,16-11-2019,252,41,Female,City_16,470,Clothing,1,37.04606705,Debit Card,FALSE,3.704606705,FALSE,Black Friday,2,TRUE
11,06-12-2019,302,50,Female,City_13,670,Toys,5,91.87703585,Debit Card,FALSE,0,FALSE,Christmas Market,4,TRUE
12,11-11-2021,300,51,Other,City_13,755,Decorations,1,26.89912172,Online Payment,FALSE,0,TRUE,Christmas Market,5,FALSE
13,04-11-2022,175,20,Male,City_15,95,Electronics,3,48.97453114,Credit Card,FALSE,14.69235934,FALSE,Black Friday,4,FALSE
14,07-11-2020,417,62,Female,City_5,460,Decorations,1,80.48414429,Debit Card,TRUE,0,TRUE,Christmas Market,4,TRUE
